text,sentiment
Finalmente consegui ligar á rede wireless eduroam na FEUP. Já estou online!!!,positive
não dá para usar o raio do twitter sobre eduroam.. não consigo fazer login. :|,negative
"não consigo utilizar o twitter sobre eduroam, não percebi ainda porquê..",negative
não consigo fazer login no twitter a partir do eduroam. bahh..,negative
"@ndantas tens razão...é procedimento, como configurar a eduroam no iPhone para totos...",neutral
A fazer a Faq para configurar a eduroam no iPhone / iPod Touch... adoro a funcionalidade dos screnshots no iPhone / iPod Touch!,positive
"@mgarces funciona na boa,mesmo com este eduroam ranhoso",neutral
"@patatchim ja tens o touch a ligar directamente à eduroam? Se sim, como?",neutral
porque não me consigo ligar à eduroam em kubuntu? http://ff.im/5LYF,negative
reiniciei o meu mac... e tudo so por causa da porcaria da Eduroam... mas pronts meu 'personal record esta nos 24 dias' :P,negative
@mjvalente não sei se recebeste o meu twit.. Já conseguiste por a eduroam a dar no iTouch ?,neutral
RT: Ubuntu 8.10 + Eduroam = Dor de Cabeça... http://tinyurl.com/bz9bte,negative
Ubuntu 8.10 + Eduroam = Dor de Cabeça...,negative
@salvemoscolari eduroam FTW... só que tipo não né?,neutral
"bloody eduroam, só funciona onde não é precisa :S",negative
"@inf0rmer tas na eduroam? só dá para ver isso na ua (ou por vpn).. e só os perfis joe, kitty e wiseallec é q têm qq coisita de conteúdo :)",neutral
"@paulozoom sim, à semelhança do ano passado, temos um login partilhado para acesso à rede wireless ""eduroam"", comum a todas as universidades",neutral
Finalmente consegui configurar a eduroam no Ipp com o iphone,positive
@jpgneves Havias de tentar usar a net aqui onde eu trabalho... Até davas graças pela suprema rapidez e fiabilidade da eduroam :P,positive
"@krypton33 já é suposto a eduroam bombar em Symbian, é? ;)",positive
"@carlosefonseca Nop, foi cortesia da eduroam @ Tagus :P",positive
"Há coisas que me transcendem, nomeadamente o facto do meu EEE se ligar mais facilmente à eduroam do que à rede WEP daqui de casa... :/",positive
Epá a Eduroam hoje tá mesmo fixe... not! =/,negative
Configuração automática da rede eduroam: http://www.ipg.pt/wifi/,neutral
@salvemoscolari a eduroam ainda não funca?,neutral
"@ctrler estou a tentar também ligar-me à eduroam com o jaunty e não está pacífico, criei esse tal ficheiro iwl5100.conf mas nda. Pds ajudar?",neutral
estou ligado à guest_eduroam a navegar cheio de vida!! LOL,positive
Preciso de aceder por SSH do meu mac a outro que está dentro da UMinho (proxy...) e ambos a usar eduroam. Alguma dica?,neutral
